,subject,background_within,background_between,nback_within,nback_between,background_within_RT,background_between_RT,nback_within_RT,nback_between_RT
0,sub-100,0.4444444444444444,0.3333333333333333,,,1.7806833333333332,1.9357777777777778,,
1,sub-101,0.5925925925925926,0.5185185185185185,,,1.649625,1.5872857142857146,,
2,sub-102,,,0.8518518518518519,0.7037037037037037,,,2.2182736956521736,2.188741052631579
3,sub-105,0.7777777777777778,0.6666666666666666,,,1.98189119047619,2.6563569444444446,,
4,sub-106,0.6296296296296297,0.5185185185185185,,,2.4487058823529413,2.963071428571429,,
5,sub-107,,,0.8148148148148148,0.8148148148148148,,,1.4144711363636366,1.5326618181818183
6,sub-108,,,0.5925925925925926,0.5555555555555556,,,1.6569890625,1.886640333333333
7,sub-109,,,0.5555555555555556,0.6296296296296297,,,1.6796599999999997,1.4162394117647057
8,sub-10,0.5185185185185185,0.5185185185185185,,,1.90912,1.849559285714286,,
9,sub-111,0.6666666666666666,0.4444444444444444,,,2.2062422222222224,2.0971716666666667,,
10,sub-112,0.8888888888888888,0.6296296296296297,,,1.7553941666666673,2.0264711764705883,,
11,sub-113,,,0.48148148148148145,0.5925925925925926,,,1.7915384615384613,1.6216249999999999
12,sub-115,,,0.6666666666666666,0.6296296296296297,,,1.6275952777777778,1.586889117647059
13,sub-118,,,0.5555555555555556,0.48148148148148145,,,1.6868793333333336,1.5078723076923073
14,sub-119,,,0.6666666666666666,0.5925925925925926,,,1.3848780555555558,1.5482753125
15,sub-11,0.5925925925925926,0.5555555555555556,,,1.5668990624999997,1.5413670000000002,,
16,sub-120,,,0.7407407407407407,0.4444444444444444,,,2.0932304999999998,2.3215695833333334
17,sub-121,,,0.6666666666666666,0.7407407407407407,,,1.8592408333333335,2.0020304999999996
18,sub-122,0.5185185185185185,0.5925925925925926,,,1.6496107142857142,1.8113581250000002,,
19,sub-124,,,0.6296296296296297,0.5925925925925926,,,2.185235294117647,2.2105
20,sub-125,0.6296296296296297,0.48148148148148145,,,1.3825294117647056,1.1437692307692306,,
21,sub-126,,,0.5555555555555556,0.6666666666666666,,,1.2723523333333333,1.2269441666666667
22,sub-129,0.6666666666666666,0.6666666666666666,,,1.5311630555555553,1.4943019444444445,,
23,sub-12,,,0.7407407407407407,0.7037037037037037,,,2.149004,2.706432894736842
24,sub-132,0.6296296296296297,0.6296296296296297,,,1.9800635294117646,1.5695473529411768,,
25,sub-135,,,0.5925925925925926,0.5185185185185185,,,1.6255596875,2.1856082142857143
26,sub-136,,,0.5925925925925926,0.6666666666666666,,,1.8772003124999999,2.017607222222222
27,sub-13,,,0.37037037037037035,0.5925925925925926,,,5.230457499999999,4.866663125
28,sub-14,,,0.7037037037037037,0.4444444444444444,,,1.4176276315789471,1.363192083333333
29,sub-16,0.5185185185185185,0.5555555555555556,,,1.6224746428571428,1.8884126666666667,,
30,sub-17,,,0.5925925925925926,0.5555555555555556,,,2.21725,2.249
31,sub-18,0.5185185185185185,0.5185185185185185,,,3.417471071428572,2.5009335714285714,,
32,sub-19,0.5555555555555556,0.7037037037037037,,,1.8753323333333332,1.8727323684210524,,
33,sub-1,,,0.4444444444444444,0.5185185185185185,,,1.5464829166666665,1.737707142857143
34,sub-21,,,0.7407407407407407,0.7037037037037037,,,1.67325,1.8062105263157897
35,sub-22,0.7777777777777778,0.4444444444444444,,,2.700257142857143,2.0786666666666673,,
36,sub-24,,,0.6296296296296297,0.5925925925925926,,,2.317941176470588,2.4041250000000005
37,sub-26,,,0.7407407407407407,0.5185185185185185,,,2.029452,1.9487753571428574
38,sub-27,0.7777777777777778,0.48148148148148145,,,1.8792583333333333,2.571021153846154,,
39,sub-30,,,0.7777777777777778,0.8148148148148148,,,1.7694185714285713,2.0509240909090907
40,sub-35,,,0.6666666666666666,0.6296296296296297,,,1.8683494444444446,1.916697058941176
41,sub-38,,,0.7407407407407407,0.5555555555555556,,,1.7323727500000001,1.714457333333333
42,sub-3,,,0.7407407407407407,0.5555555555555556,,,2.0417019999999995,1.920096
43,sub-40,0.7407407407407407,0.5925925925925926,,,1.7266822500000003,1.7841390625000002,,
44,sub-42,,,0.4444444444444444,0.6296296296296297,,,2.9599116666666663,3.1307929411764706
45,sub-44,0.5925925925925926,0.3333333333333333,,,4.564792187500001,4.776815000000001,,
46,sub-45,0.6666666666666666,0.6296296296296297,,,2.0890555555555554,2.1219411764705884,,
47,sub-47,0.6666666666666666,0.6296296296296297,,,2.0516577777777782,1.6391020588235292,,
48,sub-48,,,0.7777777777777778,0.7407407407407407,,,1.672450952380952,1.7664187500000001
49,sub-51,,,0.5185185185185185,0.5555555555555556,,,1.3828739285714289,1.8421176666666665
50,sub-52,0.48148148148148145,0.6296296296296297,,,1.3631346153846156,1.4966464705882352,,
51,sub-57,,,0.6666666666666666,0.5185185185185185,,,1.7052474999999998,1.9472082142857143
52,sub-58,,,0.6666666666666666,0.8148148148148148,,,1.3996005555555557,2.3605511363636364
53,sub-59,,,0.7037037037037037,0.6296296296296297,,,1.7371610526315788,1.6687055882352941
54,sub-5,,,0.5185185185185185,0.48148148148148145,,,1.9799285714285715,2.100076923076923
55,sub-64,,,0.6666666666666666,0.6296296296296297,,,1.844860833333333,2.1457841176470587
56,sub-65,0.5555555555555556,0.5185185185185185,,,1.7203799999999998,1.6829571428571428,,
57,sub-67,0.5555555555555556,0.5185185185185185,,,0.9388549999999999,1.0853357142857143,,
58,sub-69,,,0.5555555555555556,0.5555555555555556,,,1.682744,1.9604656666666667
59,sub-71,,,0.4444444444444444,0.6666666666666666,,,1.1102275,1.0766383333333331
60,sub-73,,,0.5555555555555556,0.4444444444444444,,,1.5030880000000002,1.3290425
61,sub-75,,,0.8148148148148148,0.7407407407407407,,,1.7053181818181822,1.8205499999999997
62,sub-77,0.6666666666666666,0.37037037037037035,,,1.758888888888889,1.5983,,
63,sub-78,,,0.5925925925925926,0.7777777777777778,,,1.3999493749999998,1.472600238095238
64,sub-79,,,0.5185185185185185,0.5925925925925926,,,1.8512857142857144,1.9843750000000004
65,sub-82,,,0.5925925925925926,0.5555555555555556,,,1.9146734374999999,1.8977690000000003
66,sub-85,,,0.7037037037037037,0.6666666666666666,,,1.5330121052631578,1.4285088888888888
67,sub-87,,,0.6666666666666666,0.5555555555555556,,,1.6996505555555559,1.6469376666666662
68,sub-89,0.5925925925925926,0.4444444444444444,,,2.8319531249999996,2.0086670833333335,,
69,sub-90,,,0.7407407407407407,0.7037037037037037,,,2.2462635000000004,2.0716005263157897
70,sub-91,1.0,0.48148148148148145,,,1.8151072222222224,2.591532692307692,,
71,sub-92,,,0.6666666666666666,0.5185185185185185,,,2.9606666666666666,2.5143571428571434
72,sub-94,0.5555555555555556,0.37037037037037035,,,1.5936000000000006,1.4201,,
73,sub-97,,,0.6296296296296297,0.5925925925925926,,,1.4763288235294116,1.427564375
