subject,background_boundary_rt,background_nonboundary_rt,background_second_item_rt,nback_boundary_rt,nback_nonboundary_rt,nback_second_item_rt
sub-100,,,,0.910611320754717,0.866657089552239,0.9307471698113204
sub-101,,,,0.7298407407407406,0.75181962962963,0.6988870370370371
sub-102,0.9398037037037036,0.9287048148148149,0.9144074074074072,,,
sub-106,,,,0.8672148148148149,0.8180089219330849,0.8054074074074073
sub-107,,,,0.998166037735849,0.8995222641509436,0.8438211538461537
sub-108,1.0050574074074075,1.0705167286245343,1.053792452830189,,,
sub-10,0.8450264150943395,0.7495414814814817,0.7363574074074077,,,
sub-111,0.6241444444444442,0.7039352059925101,0.6603222222222223,,,
sub-112,,,,1.1565222222222222,1.14225037593985,1.0923735849056602
sub-113,1.1247444444444445,1.1190808988764045,1.0195851851851854,,,
sub-114,1.2095185185185189,1.1603308270676693,1.1501153846153847,,,
sub-116,0.9204648148148146,0.9751695167286246,0.91745,,,
sub-117,,,,1.0093703703703707,0.9575505617977522,0.9649814814814816
sub-11,0.8810150943396229,0.7790166666666671,0.8308296296296297,,,
sub-125,0.8066037735849052,0.7909812030075196,0.8110740740740741,,,
sub-126,,,,1.0545423076923077,1.0125234615384613,1.0005686274509804
sub-129,0.9371849056603775,0.9505651851851852,0.8841074074074077,,,
sub-12,,,,0.9061830188679246,0.9131689138576785,0.9126333333333334
sub-130,,,,0.8453888889259261,0.7434333333629632,0.7881851851481483
sub-131,0.8344903846153847,0.7612787878787889,0.7692596153846151,,,
sub-13,,,,1.0292307692307692,1.0175747211895914,1.0616999999999999
sub-15,,,,0.7266851851851849,0.7099666666666663,0.6926666666666668
sub-16,,,,1.1575352941176473,1.1614393939393939,1.208039622641509
sub-17,1.163925925907407,1.0345300000222217,1.1155592592962962,,,
sub-18,1.1315769230769237,1.1478899613899618,1.0716566037735848,,,
sub-1,,,,1.1248037735849052,0.9555451851851853,0.9293944444444444
sub-20,1.0304999999999997,0.9349664179104473,0.9018867924528299,,,
sub-22,0.8579074074074072,0.8091698884758372,0.7861169811320754,,,
sub-24,0.9272888888333335,0.9165140740814823,1.0128981480740742,,,
sub-27,,,,1.321850943396226,1.3848593984962418,1.4229339622641506
sub-29,0.8905870370370367,0.802597769516729,0.7734981481481483,,,
sub-2,0.9430433960943397,0.8168844444333331,0.8224999999259256,,,
sub-32,,,,0.9742833333333335,0.8990794007490639,0.9560074074074079
sub-33,,,,0.8287592592592594,0.8575204460966542,0.815962962962963
sub-35,1.2296518518518513,1.097580740740742,1.169840740740741,,,
sub-37,,,,0.9137796296296297,0.9047266666666668,0.9049907407407412
sub-38,,,,1.1840943396226413,1.1191086142322095,1.1391296296296296
sub-42,0.9305685185185184,0.7514928838951318,0.7318981481481485,,,
sub-43,,,,0.9660547169811319,0.8715640926640923,0.8889153846153844
sub-44,,,,0.849754716981132,0.9175937037037036,0.9773222222222222
sub-46,,,,0.815373076923077,0.845991449814126,0.86181320754717
sub-47,,,,0.8862370370370369,0.8917887640449439,0.9409134615384617
sub-48,,,,1.2490716981132075,1.2166561797752804,1.235948148148148
sub-49,,,,1.1002452830188683,1.0439198473282436,1.1013018867924533
sub-4,,,,0.9845277777777779,0.8905781481481483,0.8862462962962963
sub-50,,,,1.0639245283018868,0.9292490706319705,0.9221296296296296
sub-52,1.1052541666666666,1.0027758064516128,0.9783020408163263,,,
sub-55,0.9938444444444448,0.8849725925925925,0.920872222222222,,,
sub-56,0.7232037037037038,0.7955724907063201,0.7893518518518519,,,
sub-58,,,,0.7179074074074075,0.6898438661710043,0.6985264150943395
sub-5,,,,1.018943396226415,0.9525373134328358,0.959240740740741
sub-60,,,,0.979418867924528,0.9948667924528298,0.9617423076923076
sub-61,,,,1.2103230769230773,1.165083643122676,1.1319314814814816
sub-64,,,,1.0123166666666668,1.0413513011152415,1.029498148148148
sub-66,,,,0.869615094339623,0.8723802973977696,0.8979584905660375
sub-6,,,,1.3457857142857146,1.2738895752895756,1.1284399999999997
sub-71,1.1439444444444444,1.1731992481203004,1.1585882352941175,,,
sub-75,1.0929777777777776,0.9621722222222222,0.9952055555555556,,,
sub-77,,,,1.0037470588235293,1.019145173745175,1.0269849056603775
sub-7,,,,1.1707396226415092,0.9968913857677906,0.9710749999999998
sub-80,0.9381296296296296,0.8681933085501861,0.9063148148148149,,,
sub-81,,,,1.004747169811321,0.8993966292134827,0.9185148148148147
sub-83,,,,1.132962962962963,1.0639988721804507,1.0589509433962263
sub-85,,,,1.0587849056603769,0.983484269662921,1.0539722222222223
sub-86,,,,0.9608169811320755,0.8563959259259258,0.8976000000000002
sub-88,,,,0.8798703703703702,0.8411710037174724,0.9016851851851853
sub-89,0.8712166666666664,0.9676037174721192,0.9556481481481484,,,
sub-8,,,,1.028967924528302,0.8410917910447764,0.809933962264151
sub-91,1.329222222222222,1.2400486891385765,1.2375925925925924,,,
sub-92,1.1287777777777774,1.0168522727272729,0.9629814814814814,,,
sub-93,1.3394388888888886,1.226433457249071,1.2841925925925926,,,
sub-94,1.0852754716981132,0.8446092936802968,0.9246833333333334,,,
sub-96,1.0787703703703704,1.034387640449438,1.0663641509433965,,,
sub-98,0.7678653846153846,0.6768703703703701,0.6869629629629629,,,
sub-9,,,,0.7424611111111112,0.74272962962963,0.7467055555555555
